instancia,n,m,seed,costo,bks,gap_pct,tiempo_s
E-n13-k4,12,4,0,257.0,247.0,4.048582995951417,0.0674709000159055
E-n13-k4,12,4,1,257.0,247.0,4.048582995951417,0.0658209000248462
E-n13-k4,12,4,2,251.0,247.0,1.6194331983805668,0.06708690000232309
E-n13-k4,12,4,3,257.0,247.0,4.048582995951417,0.06520280000404455
E-n13-k4,12,4,4,257.0,247.0,4.048582995951417,0.06620539998402819
E-n13-k4,12,4,5,251.0,247.0,1.6194331983805668,0.06528149999212474
E-n13-k4,12,4,6,256.0,247.0,3.643724696356275,0.06561340001644567
E-n13-k4,12,4,7,256.0,247.0,3.643724696356275,0.06916939999791794
E-n13-k4,12,4,8,251.0,247.0,1.6194331983805668,0.06760889998986386
E-n13-k4,12,4,9,257.0,247.0,4.048582995951417,0.0653423999901861
E-n13-k4,12,4,10,260.0,247.0,5.263157894736842,0.06452440001885407
E-n13-k4,12,4,11,258.0,247.0,4.4534412955465585,0.06581899998127483
E-n13-k4,12,4,12,251.0,247.0,1.6194331983805668,0.06609630002640188
E-n13-k4,12,4,13,260.0,247.0,5.263157894736842,0.06607600001734681
E-n13-k4,12,4,14,256.0,247.0,3.643724696356275,0.0664266999810934
E-n13-k4,12,4,15,260.0,247.0,5.263157894736842,0.06456209998577833
E-n13-k4,12,4,16,262.0,247.0,6.0728744939271255,0.0661901000130456
E-n13-k4,12,4,17,260.0,247.0,5.263157894736842,0.06826559998444282
E-n13-k4,12,4,18,260.0,247.0,5.263157894736842,0.06518659999710508
E-n13-k4,12,4,19,260.0,247.0,5.263157894736842,0.06579799999599345
E-n13-k4,12,4,20,256.0,247.0,3.643724696356275,0.06620950001524761
E-n13-k4,12,4,21,257.0,247.0,4.048582995951417,0.06626290001440793
E-n13-k4,12,4,22,256.0,247.0,3.643724696356275,0.06729190002079122
E-n13-k4,12,4,23,251.0,247.0,1.6194331983805668,0.06569449999369681
E-n13-k4,12,4,24,257.0,247.0,4.048582995951417,0.06661910002003424
E-n13-k4,12,4,25,260.0,247.0,5.263157894736842,0.06584000002476387
E-n13-k4,12,4,26,256.0,247.0,3.643724696356275,0.06542749999789521
E-n13-k4,12,4,27,256.0,247.0,3.643724696356275,0.06630420000874437
E-n13-k4,12,4,28,256.0,247.0,3.643724696356275,0.06543610000517219
E-n13-k4,12,4,29,257.0,247.0,4.048582995951417,0.06725630001164973
E-n13-k4,12,4,30,256.0,247.0,3.643724696356275,0.0662875999987591
E-n22-k4,21,4,0,391.0,375.0,4.266666666666667,0.15532300001359545
E-n22-k4,21,4,1,382.0,375.0,1.866666666666667,0.08331690001068637
E-n22-k4,21,4,2,387.0,375.0,3.2,0.08262770000146702
E-n22-k4,21,4,3,382.0,375.0,1.866666666666667,0.08160550001775846
E-n22-k4,21,4,4,408.0,375.0,8.799999999999999,0.08139709997340105
E-n22-k4,21,4,5,391.0,375.0,4.266666666666667,0.08310009998967871
E-n22-k4,21,4,6,412.0,375.0,9.866666666666667,0.0859067999990657
E-n22-k4,21,4,7,382.0,375.0,1.866666666666667,0.09263739999732934
E-n22-k4,21,4,8,382.0,375.0,1.866666666666667,0.0889385000045877
E-n22-k4,21,4,9,387.0,375.0,3.2,0.0829321000201162
E-n22-k4,21,4,10,382.0,375.0,1.866666666666667,0.08405389997642487
E-n22-k4,21,4,11,382.0,375.0,1.866666666666667,0.08431629999540746
E-n22-k4,21,4,12,382.0,375.0,1.866666666666667,0.08356040000217035
E-n22-k4,21,4,13,376.0,375.0,0.26666666666666666,0.08131460001459345
E-n22-k4,21,4,14,382.0,375.0,1.866666666666667,0.08220930001698434
E-n22-k4,21,4,15,412.0,375.0,9.866666666666667,0.08215770000242628
E-n22-k4,21,4,16,404.0,375.0,7.733333333333333,0.08286530000623316
E-n22-k4,21,4,17,391.0,375.0,4.266666666666667,0.08335119998082519
E-n22-k4,21,4,18,414.0,375.0,10.4,0.08231240001623519
E-n22-k4,21,4,19,418.0,375.0,11.466666666666667,0.08198400001856498
E-n22-k4,21,4,20,391.0,375.0,4.266666666666667,0.08221289998618886
E-n22-k4,21,4,21,408.0,375.0,8.799999999999999,0.0806694999919273
E-n22-k4,21,4,22,387.0,375.0,3.2,0.08213070000056177
E-n22-k4,21,4,23,391.0,375.0,4.266666666666667,0.11269189999438822
E-n22-k4,21,4,24,382.0,375.0,1.866666666666667,0.08341280001332052
E-n22-k4,21,4,25,391.0,375.0,4.266666666666667,0.08011609999812208
E-n22-k4,21,4,26,408.0,375.0,8.799999999999999,0.081950699997833
E-n22-k4,21,4,27,382.0,375.0,1.866666666666667,0.08166159997927025
E-n22-k4,21,4,28,391.0,375.0,4.266666666666667,0.08401380002032965
E-n22-k4,21,4,29,382.0,375.0,1.866666666666667,0.08378290000837296
E-n22-k4,21,4,30,407.0,375.0,8.533333333333333,0.07915919998777099
E-n23-k3,22,3,0,569.0,569.0,0.0,0.09663719998206943
E-n23-k3,22,3,1,569.0,569.0,0.0,0.0914037000038661
E-n23-k3,22,3,2,569.0,569.0,0.0,0.1007644000055734
E-n23-k3,22,3,3,569.0,569.0,0.0,0.09422769999946468
E-n23-k3,22,3,4,569.0,569.0,0.0,0.09354100000928156
E-n23-k3,22,3,5,569.0,569.0,0.0,0.10026899998774752
E-n23-k3,22,3,6,570.0,569.0,0.17574692442882248,0.09623249998549
E-n23-k3,22,3,7,570.0,569.0,0.17574692442882248,0.09649239998543635
E-n23-k3,22,3,8,569.0,569.0,0.0,0.09701579998363741
E-n23-k3,22,3,9,569.0,569.0,0.0,0.09462570000323467
E-n23-k3,22,3,10,569.0,569.0,0.0,0.09401979998801835
E-n23-k3,22,3,11,569.0,569.0,0.0,0.09830670000519603
E-n23-k3,22,3,12,570.0,569.0,0.17574692442882248,0.09105030001956038
E-n23-k3,22,3,13,569.0,569.0,0.0,0.0984222000115551
E-n23-k3,22,3,14,569.0,569.0,0.0,0.09840229997644201
E-n23-k3,22,3,15,569.0,569.0,0.0,0.09361040001385845
