instancia,n,bks,z_exacto,gap_exacto_pct,optimo_certificado,costo_mejor,gap_mejor,costo_prom,gap_prom,tiempo_exacto_s,tiempo_prom_s,razon_tiempo_pso_exacto
E-n13-k4,12,247.0,247,0.0,True,251.0,1.6194331983805668,256.61290322580646,3.8918636541726523,0.9,0.06620570645581235,0.07356189606201372
E-n22-k4,21,375.0,375,0.0,True,376.0,0.2666666666666666,392.48387096774195,4.662365591397849,0.8,0.08637781613018179,0.10797227016272723
E-n23-k3,22,569.0,569,0.0,True,569.0,0.0,569.1935483870968,0.034015533760417244,1.2,0.09567796774377532,0.07973163978647944
A-n32-k5,31,784.0,784,0.0,True,786.0,0.2551020408163265,816.7096774193549,4.1721527320605665,576.1,0.10554219999880105,0.0001832011803485524
A-n33-k5,32,661.0,667,0.9077155824508321,False,697.0,5.446293494704992,727.5806451612904,10.072714850422136,17096.4,0.10595996128658071,6.197793762814434e-06
